wsj.com/, general news, yes, yes, roger, hashing, post, accounts.google.com, requires_authentication
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
"wsj.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication"
